open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1713881100000,66458.40,66732.80,66445.00,66623.90,3220.269,1713881399999,214612480.04070,44825,1847.107,123092152.11460,0
1713881400000,66623.80,66923.50,66565.60,66757.90,3262.658,1713881699999,217925068.63880,42395,1834.771,122571413.41980,0
1713881700000,66758.00,66910.00,66720.00,66741.90,1956.719,1713881999999,130770224.94290,32037,910.778,60880928.11120,0
1713882000000,66741.90,66879.50,66737.10,66816.20,1246.183,1713882299999,83281945.52110,20475,512.142,34225849.93640,0
1713882300000,66815.50,66815.50,66679.80,66689.00,1447.244,1713882599999,96572218.93270,21861,532.438,35529779.67180,0
1713882600000,66689.00,67099.70,66656.30,67000.10,4320.226,1713882899999,289299645.36070,51405,2688.984,180075465.96250,0
1713882900000,67000.00,67096.00,66772.50,66786.80,2232.680,1713883199999,149459540.30440,34446,785.206,52569960.14320,0
1713883200000,66786.90,66865.10,66536.00,66612.00,2762.666,1713883499999,184194770.27800,34666,1091.058,72752475.80720,0
1713883500000,66612.20,66699.00,66531.80,66671.50,1802.059,1713883799999,120050515.38590,25348,947.208,63104658.94910,0
1713883800000,66671.80,66922.30,66671.80,66892.50,1744.581,1713884099999,116555462.95240,24040,1082.684,72327320.67920,0
1713884100000,66892.50,66964.90,66810.00,66880.50,1117.851,1713884399999,74762821.64950,16103,487.351,32598173.45790,0
1713884400000,66880.40,66901.10,66654.40,66708.10,1254.724,1713884699999,83740834.78450,19524,503.432,33595418.55650,0
1713884700000,66708.00,66802.80,66685.50,66718.60,900.221,1713884999999,60078693.99110,16126,443.244,29582598.54950,0
1713885000000,66718.70,66782.40,66627.00,66692.30,742.293,1713885299999,49510625.47710,13096,334.381,22306228.93430,0
1713885300000,66692.30,66710.00,66501.00,66550.00,1624.326,1713885599999,108124521.75560,23937,762.386,50750012.19300,0
1713885600000,66550.00,66669.00,66537.00,66626.40,747.671,1713885899999,49796187.16080,14210,414.381,27598905.08080,0
1713885900000,66626.40,66746.00,66626.40,66700.20,627.416,1713886199999,41850875.56810,11626,330.303,22033268.00090,0
1713886200000,66700.20,66745.90,66530.00,66576.40,841.915,1713886499999,56088518.92690,14132,326.726,21763625.49600,0
1713886500000,66576.40,66592.60,66417.90,66550.10,1474.657,1713886799999,98091609.86180,20979,618.971,41180715.13870,0
1713886800000,66550.00,66574.00,66350.70,66405.20,1474.593,1713887099999,97939334.45200,20968,534.626,35514148.91100,0
1713887100000,66405.10,66492.30,66372.10,66483.00,775.551,1713887399999,51537384.73320,13170,402.658,26758392.72430,0
1713887400000,66482.90,66495.30,66435.00,66460.60,452.207,1713887699999,30058909.54140,9558,230.652,15331478.61470,0
1713887700000,66460.60,66529.30,66283.60,66393.20,1770.958,1713887999999,117510944.33340,20447,740.098,49119621.71640,0
1713888000000,66393.20,66485.10,66311.40,66465.50,934.596,1713888299999,62058676.34260,17170,499.925,33200267.43750,0
1713888300000,66465.50,66694.20,66465.50,66619.60,2744.244,1713888599999,182824487.26620,24570,1391.958,92716444.22000,0
1713888600000,66619.60,66653.50,66589.20,66643.20,498.918,1713888899999,33241868.09700,9770,286.300,19075716.27620,0
1713888900000,66643.20,66711.60,66624.20,66687.10,755.731,1713889199999,50388172.92340,13378,457.814,30525543.02480,0
1713889200000,66687.10,66695.00,66577.60,66616.40,431.932,1713889499999,28774036.18860,8617,177.677,11836073.61590,0
1713889500000,66616.30,66627.10,66486.50,66625.30,841.715,1713889799999,56016044.18180,12605,415.411,27645395.48540,0
1713889800000,66625.40,66689.70,66536.80,66585.10,436.734,1713890099999,29093878.53840,9973,207.737,13840605.27210,0
1713890100000,66585.10,66636.10,66541.10,66611.00,343.360,1713890399999,22862061.98740,6607,148.880,9914293.77290,0
1713890400000,66610.90,66680.00,66592.80,66668.00,287.808,1713890699999,19181654.51270,6652,181.143,12072683.71700,0
1713890700000,66667.90,66784.00,66648.60,66714.60,1052.434,1713890999999,70236825.88920,14540,663.571,44286739.18850,0
