2024-05-01 13:30:52,041 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:53,838 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:53,839 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:55,282 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:55,282 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:55,503 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:55,504 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:55,926 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:55,926 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:57,156 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:57,157 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:57,983 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:57,984 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:58,228 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:58,229 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:58,428 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:58,429 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:59,112 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:59,113 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:01,577 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:01,577 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:02,241 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:02,242 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:02,424 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:02,425 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:02,565 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:02,566 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:04,131 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:04,132 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:04,445 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:04,445 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:05,408 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:05,408 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:05,996 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:05,997 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:06,149 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
